method,k_shots,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,f1_score_mean,f1_score_std,f1_score_n,auroc_mean,auroc_std,auroc_n
Full-MAML,5,3,0.5303963384348668,0.08286849418316392,48,0.5835573755820775,0.06617290370285812,48,0.5724208926897376,0.11137701495855239,48,0.6252271692023305,0.08734912344706657,48
MAML-ANIL,5,3,0.5827774809106366,0.054573384129317004,48,0.5806604002087793,0.07410938478593679,48,0.6451795190275523,0.09190317766613423,48,0.6137739139214301,0.08847364021964924,48
MAML-ANIL-Uniform,5,3,0.489922913756866,0.1021662048944351,48,0.57632499031274,0.07674467612084482,48,0.5138181387279205,0.13770666672431692,48,0.6173751164531899,0.08752808406542845,48
Full-MAML-Uniform,5,3,0.4485189710476187,0.14210149068878128,48,0.5645631220550319,0.07193872044785889,48,0.4137079894729753,0.23958281447857374,48,0.627779721954247,0.08561832190749413,48
Full-MAML,10,3,0.5709863338812274,0.0823164878108218,48,0.5904356248261508,0.07666785987663653,48,0.6248684718433379,0.1044892810680087,48,0.6232107819846713,0.0938186991490787,48
MAML-ANIL,10,3,0.5800760002024812,0.051865147509998294,48,0.5801235652824439,0.07308123222861214,48,0.649919708850695,0.08445772940724822,48,0.6099014778744243,0.09256277542909706,48
MAML-ANIL-Uniform,10,3,0.51753193560851,0.0927192442750023,48,0.5780591614292795,0.07752141240574908,48,0.5504405203926762,0.13183772211694297,48,0.6134235852138585,0.089528360226145,48
Full-MAML-Uniform,10,3,0.48418575319994867,0.14200128724790997,48,0.5614841036702405,0.06074231639900366,48,0.45248000597109916,0.2287599701761346,48,0.6242533429643605,0.09272653105888737,48
Full-MAML,20,3,0.5942206760041796,0.07960271241661303,48,0.5897786666972116,0.06570559001843833,48,0.6541133994215261,0.10218266870080112,48,0.628451491757858,0.09086508727301926,48
MAML-ANIL-Uniform,20,3,0.5524944014789314,0.0916776398037353,48,0.585611401802583,0.08221708635708017,48,0.5945195489281865,0.12503682772847555,48,0.614647308085703,0.08893935413225688,48
MAML-ANIL,20,3,0.5889500174402316,0.05751356214067325,48,0.5849221848579912,0.08111987539761333,48,0.6621825849431385,0.08237167138677652,48,0.6137555434243491,0.09205897488386884,48
Full-MAML-Uniform,20,3,0.5300106603277854,0.13527888914818273,48,0.569261263897316,0.04642097935630568,48,0.5166815309540161,0.20330389214731578,48,0.6299494511950218,0.08823556654769418,48
